                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.43009,                0.24812,                0.79994,                0.92645,                  0.939,                0.96041,                0.76978,                0.42676,                0.24464,                0.79294,             0.00079238,             0.00079238,             0.00079238
                     47,                0.43965,                0.25066,                0.80271,                  0.935,                0.92284,                0.95054,                0.76795,                0.41494,                 0.2445,                0.79079,             0.00077823,             0.00077823,             0.00077823
                     48,                0.43537,                0.24703,                0.80254,                0.93082,                0.93395,                0.96055,                0.78146,                0.40244,                0.24095,                0.78863,             0.00076409,             0.00076409,             0.00076409
                     49,                0.43485,                0.24869,                0.80171,                0.93005,                0.92276,                 0.9573,                0.77092,                0.42242,                0.24394,                0.79034,             0.00074994,             0.00074994,             0.00074994
                     50,                0.42699,                0.24337,                0.80119,                0.91784,                 0.9432,                0.95674,                0.77906,                 0.4045,                0.23592,                0.78997,             0.00073579,             0.00073579,             0.00073579
                     51,                0.41818,                0.23743,                0.79764,                0.91358,                0.93418,                0.95233,                0.77556,                0.40319,                0.23766,                0.78994,             0.00072164,             0.00072164,             0.00072164
                     52,                0.42631,                 0.2437,                0.79986,                0.90832,                0.92115,                0.94501,                0.77054,                0.40471,                0.23924,                0.79063,              0.0007075,              0.0007075,              0.0007075
                     53,                0.40824,                0.23364,                0.79768,                0.92102,                0.94231,                0.95616,                0.77612,                0.40673,                0.23533,                0.79072,             0.00069335,             0.00069335,             0.00069335
                     54,                0.41752,                0.23585,                0.80192,                0.92156,                0.93296,                0.95803,                0.77654,                0.40269,                0.23259,                0.79198,              0.0006792,              0.0006792,              0.0006792
                     55,                0.39904,                0.22777,                0.79493,                0.93362,                0.92361,                0.95527,                0.77424,                0.39918,                0.22722,                0.79115,             0.00066506,             0.00066506,             0.00066506
                     56,                0.40532,                0.22891,                0.79862,                0.90756,                0.93568,                0.95563,                0.78088,                0.40002,                0.23053,                0.78829,             0.00065091,             0.00065091,             0.00065091
                     57,                0.40128,                0.22705,                0.79617,                 0.9087,                0.95043,                0.96116,                 0.7779,                0.38936,                0.22925,                0.78761,             0.00063676,             0.00063676,             0.00063676
